
-- test_adjacency_recursive p#642 i=5
         452253 function calls (445756 primitive calls) in 0.438 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 font_manager.py:1(<module>)
       11    0.000    0.000    0.068    0.006 artist.py:1613(kwdoc)
      368    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       20    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
      575    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       17    0.000    0.000    0.001    0.000 deprecation.py:416(_make_keyword_only)
        1    0.000    0.000    0.000    0.000 lines.py:200(Line2D)
        3    0.000    0.000    0.002    0.001 patches.py:1871(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:747(<dictcomp>)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
       12    0.000    0.000    0.000    0.000 MapCoordinateMath.py:74(unit_vector_lat_lon_to_cartesian)
       69    0.000    0.000    0.000    0.000 codecs.py:319(decode)
     30/4    0.000    0.000    0.000    0.000 pyparsing.py:2292(streamline)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2812(ArrowStyle)
      641    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 triinterpolate.py:1232(_Sparse_Matrix_coo)
      269    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      126    0.000    0.000    0.000    0.000 colors.py:704(__init__)
        1    0.000    0.000    0.001    0.001 subprocess.py:1554(_execute_child)
       63    0.000    0.000    0.001    0.000 colors.py:829(reversed)
      431    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       46    0.000    0.000    0.001    0.000 abc.py:84(__new__)
