         26965268 function calls (26600257 primitive calls) in 56.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      361    0.009    0.000    0.118    0.000 patches.py:523(draw)
       60    0.001    0.000    0.117    0.002 axis.py:2354(get_tick_space)
        1    0.000    0.000    0.117    0.117 pyplot.py:428(figure)
    54793    0.089    0.000    0.116    0.000 transforms.py:367(_get_intervalx)
        1    0.000    0.000    0.116    0.116 backend_tkagg.py:75(new_figure_manager)
    68924    0.114    0.000    0.114    0.000 {built-in method empty}
113055/113016    0.100    0.000    0.114    0.000 {built-in method hasattr}
        1    0.000    0.000    0.114    0.114 backend_tkagg.py:84(new_figure_manager_given_figure)
      319    0.004    0.000    0.114    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
      600    0.012    0.000    0.113    0.000 backend_agg.py:183(draw_text)
      696    0.002    0.000    0.110    0.000 axis.py:361(_get_text1_transform)
     6390    0.014    0.000    0.110    0.000 transforms.py:1791(inverted)
      267    0.003    0.000    0.109    0.000 <frozen importlib._bootstrap>:1534(get_code)
      696    0.005    0.000    0.108    0.000 _base.py:713(get_xaxis_text1_transform)
    36291    0.107    0.000    0.107    0.000 {built-in method copyto}
    25769    0.064    0.000    0.106    0.000 abc.py:178(__instancecheck__)
      696    0.001    0.000    0.106    0.000 axis.py:498(_get_text2_transform)
    54792    0.079    0.000    0.105    0.000 transforms.py:374(_get_intervaly)
   502980    0.105    0.000    0.105    0.000 artist.py:734(get_animated)
     9450    0.020    0.000    0.104    0.000 core.py:1460(getmaskarray)
      696    0.004    0.000    0.104    0.000 _base.py:820(get_yaxis_text2_transform)
     1632    0.008    0.000    0.102    0.000 markers.py:721(_set_tickdown)
     1890    0.008    0.000    0.101    0.000 path.py:473(transformed)
     1632    0.008    0.000    0.100    0.000 markers.py:701(_set_tickleft)
     1890    0.007    0.000    0.099    0.000 transforms.py:934(update_from_data_xy)
    33718    0.059    0.000    0.098    0.000 re.py:273(_compile)
1219/1164    0.027    0.000    0.097    0.000 {built-in method __build_class__}
       62    0.000    0.000    0.097    0.002 transforms.py:1622(set)
     1632    0.008    0.000    0.096    0.000 markers.py:707(_set_tickright)
     1680    0.006    0.000    0.096    0.000 transforms.py:1411(transform_point)
     1632    0.008    0.000    0.096    0.000 markers.py:715(_set_tickup)
    20520    0.022    0.000    0.095    0.000 lines.py:1343(_get_rgba_ln_color)
    16173    0.012    0.000    0.094    0.000 transforms.py:1683(transform)
    18564    0.031    0.000    0.093    0.000 artist.py:634(set_figure)
      303    0.000    0.000    0.092    0.000 <frozen importlib._bootstrap>:1934(find_spec)
      303    0.002    0.000    0.092    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
        1    0.000    0.000    0.091    0.091 type_check.py:3(<module>)
   409259    0.091    0.000    0.091    0.000 {method 'getrandbits' of '_random.Random' objects}
      120    0.002    0.000    0.091    0.001 axis.py:1067(_get_tick_bboxes)
        1    0.000    0.000    0.089    0.089 figure.py:12(<module>)
      600    0.006    0.000    0.089    0.000 text.py:932(get_window_extent)
     5520    0.077    0.000    0.088    0.000 {built-in method get_path_extents}
    28822    0.079    0.000    0.087    0.000 cbook.py:349(__init__)
    22716    0.053    0.000    0.086    0.000 lines.py:1054(_split_drawstyle_linestyle)
     1000    0.032    0.000    0.085    0.000 ParkingSimulation.py:210(pick_destination)
      545    0.007    0.000    0.085    0.000 <frozen importlib._bootstrap>:2016(find_spec)
     9072    0.076    0.000    0.084    0.000 {built-in method update_path_extents}
    16293    0.022    0.000    0.083    0.000 transforms.py:1763(transform_affine)
    16613    0.024    0.000    0.082    0.000 artist.py:341(set_transform)
   247738    0.082    0.000    0.082    0.000 ParkingSimulation.py:59(other_end_from_point)
    18144    0.027    0.000    0.082    0.000 axis.py:717(limit_range_for_scale)
     9072    0.012    0.000    0.080    0.000 _base.py:2772(get_xbound)
    11358    0.018    0.000    0.080    0.000 lines.py:753(set_transform)
   162983    0.080    0.000    0.080    0.000 transforms.py:1018(get_points)
        1    0.000    0.000    0.079    0.079 ParkingSimulation.py:164(__init__)
    15811    0.020    0.000    0.079    0.000 {built-in method any}
